Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
46,4.0,0.0,0.0,20.0,1.0,20.0,19248.0,0.0,7.506,0.0,0.0,3523.0080831050873,,,,,,,,,,,,,,,,,,,,,1.8000428599593725,2.343141065849544,7.477476619420233,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4.0,0.0,0.0,391.0,2.0,371.0,19619.0,0.0,227.05800000000002,0.0,0.0,3548.5691311359406,,,,,,,,,,,,,,,,,,,,,81.06555506611467,62.12698455454106,197.17985892940095,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4.0,0.0,0.0,566.0,3.0,175.0,19794.0,0.0,109.00599999999997,0.0,0.0,3560.780383348465,,,,,,,,,,,,,,,,,,,,,46.37659535234493,29.154535345673676,100.99108690023994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4.0,0.0,0.0,1059.0,4.0,493.0,20287.0,0.0,418.0,0.0,0.0,3594.3583376407623,,,,,,,,,,,,,,,,,,,,,179.14107016271822,97.98170412064597,330.01346587565513,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.0,0.0,0.0,1536.0,5.0,477.0,20764.0,0.0,400.5,0.0,0.0,3627.2958874702454,,,,,,,,,,,,,,,,,,,,,174.8018577968249,91.8049754882232,317.43695078169577,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4.0,0.0,0.0,2001.0,6.0,465.0,21229.0,0.0,354.11799999999994,0.0,0.0,3659.250030040741,,,,,,,,,,,,,,,,,,,,,164.89374147900546,86.04335343328712,279.367591345567,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4.0,0.0,0.0,2145.0,7.0,144.0,21373.0,0.0,122.00399999999999,0.0,0.0,3669.258602619171,,,,,,,,,,,,,,,,,,,,,51.45806888379583,35.38823850338503,114.70874682756094,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4.0,0.0,0.0,2582.0,8.0,437.0,21810.0,0.0,343.308,0.0,0.0,3699.1368656158447,,,,,,,,,,,,,,,,,,,,,142.4814662810969,82.57405394963536,281.3249241593198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4.0,0.0,0.0,2959.0,9.0,377.0,22187.0,0.0,277.60900000000015,0.0,0.0,3725.1763503551483,,,,,,,,,,,,,,,,,,,,,114.79442769857188,70.99257012538477,234.56606682446292,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4.0,0.0,0.0,3457.0,10.0,498.0,22685.0,0.0,410.1,0.0,0.0,3759.154759168625,,,,,,,,,,,,,,,,,,,,,177.73889395157295,89.96371635001363,321.90793875086774,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4.0,0.0,0.0,3742.0,11.0,285.0,22970.0,0.0,198.30899999999988,0.0,0.0,3778.9727787971497,,,,,,,,,,,,,,,,,,,,,81.28920331105797,55.41760010070348,175.31689395029883,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4.0,0.0,0.0,4106.0,12.0,364.0,23334.0,0.0,282.505,0.0,0.0,3803.85751247406,,,,,,,,,,,,,,,,,,,,,121.39223525809331,72.89787320221367,238.55678314920337,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5.0,0.0,0.0,0.0,0.0,489.0,23823.0,0.0,439.0,0.0,0.0,4281.756727933884,,,,,,,,,13.296092,1.4692285,16.527979,11.522106,,,,,137.57602,77.233505,392.91824,20.425686,185.57462743300096,102.23826576012472,348.60260979505733,0.5,0.4277393,0.0,0.4277393,0.4277393,7.731694621981504e-18,1.0,6.599257117506524,-6.380502857503133,211.84372,46.72047,257.03952,-9.613416,13.34438,1.43218,16.476156,11.597772,-0.043565437,0.039124396,0.05706163,-0.07139083,211.46664029135405,57.88695498201552,258.54701749867604,-1.912542835507396,0.32359922,0.0,0.32359922,0.32359922,1.1459212,1.6443893,95.363174,2.5882027e-08,0.99948627,0.135257,1.2,0.8
59,5.0,0.0,0.0,496.0,1.0,496.0,24319.0,0.0,385.91600000000005,0.0,0.0,4350.65533041954,,,,,,,,,,,,,,,,,,,,,174.04373154791813,88.57562222493378,299.8901993515842,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5.0,0.0,0.0,983.0,2.0,487.0,24806.0,0.0,378.6,0.0,0.0,4384.15430355072,,,,,,,,,,,,,,,,,,,,,165.58515708017225,86.74492799737435,298.2582867887449,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,5.0,0.0,0.0,1510.0,3.0,527.0,25333.0,0.0,422.0,0.0,0.0,4420.236338853836,,,,,,,,,,,,,,,,,,,,,180.38630005003864,93.16045739134033,327.2636835571869,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,5.0,0.0,0.0,1958.0,4.0,448.0,25781.0,0.0,362.0020000000005,0.0,0.0,4451.2854907512665,,,,,,,,,,,,,,,,,,,,,150.55930022161115,88.47595240643724,294.84627978049866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,5.0,0.0,0.0,2459.0,5.0,501.0,26282.0,0.0,379.51400000000024,0.0,0.0,4485.5278968811035,,,,,,,,,,,,,,,,,,,,,155.56605684996373,94.21527478772558,301.8772828009691,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5.0,0.0,0.0,2951.0,6.0,492.0,26774.0,0.0,387.5000000000009,0.0,0.0,4519.357582092285,,,,,,,,,,,,,,,,,,,,,154.4828627200952,89.95723181734493,311.8062377794925,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5.0,0.0,0.0,3454.0,7.0,503.0,27277.0,0.0,430.20000000000016,0.0,0.0,4553.72807431221,,,,,,,,,,,,,,,,,,,,,175.84781046990375,100.24251212224549,342.0906419756137,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5.0,0.0,0.0,3969.0,8.0,515.0,27792.0,0.0,408.0,0.0,0.0,4589.29222536087,,,,,,,,,,,,,,,,,,,,,168.097662711567,92.86131951467085,321.75145515870156,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
